# time(s),x(m),y(m),vx(m/s),vy(m/s),phi(rad),delta(rad),omega(rad/s),ax(m/s^2),deltadelta(rad/s),wheel_fl(kmph),wheel_fr(kmph),wheel_rl(kmph),wheel_rr(kmph),roll(rad),throttle_ped_cmd(%),brake_ped_cmd(kPa)
1692117187.86380720,173.57452977,-130.89949267,0.00299091,0.00754937,-1.45396784,0.00070143,0.00039371,-0.00000344,-0.00300583,0.00000000,0.00000000,0.00000000,0.00000000,0.89694145,0.00000000,1800.00073242
1692117187.90380716,173.57452835,-130.89949772,-0.00047535,0.00721411,-1.45395327,0.00058119,0.00039190,-0.00000246,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89613530,0.00000000,1800.00073242
1692117187.94380713,173.57439407,-130.89955065,0.00175259,0.00836679,-1.45393815,0.00058119,0.00039133,-0.00000137,-0.01452987,0.00000000,0.00000000,0.00000000,0.00000000,0.89601732,0.00000000,1800.00073242
1692117187.98380709,173.57427692,-130.89942767,0.00103795,0.00910628,-1.45392154,0.00000000,0.00039182,-0.00000282,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89661298,0.00000000,1800.00073242
1692117188.02380705,173.57423633,-130.89949461,0.00199297,0.00769787,-1.45390581,0.00000000,0.00039228,-0.00000112,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89708791,0.00000000,1800.00073242
1692117188.06380701,173.57427221,-130.90019460,-0.00035152,0.00780873,-1.45389133,0.00000000,0.00039457,0.00000841,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89608985,0.00000000,1800.00073242
1692117188.10380697,173.57425891,-130.90016682,0.00207052,0.00847083,-1.45387493,0.00000000,0.00039540,0.00000570,0.00326558,0.00000000,0.00000000,0.00000000,0.00000000,0.89735808,0.00000000,1800.00073242
1692117188.14380693,173.57413517,-130.89993913,0.00182745,0.00902551,-1.45385673,0.00013062,0.00039804,0.00000112,0.00032506,0.00000000,0.00000000,0.00000000,0.00000000,0.89695145,0.00000000,1800.00073242
1692117188.18380690,173.57427933,-130.90019204,0.00058008,0.00716257,-1.45384035,0.00014363,0.00039991,0.00000433,0.01093923,0.00000000,0.00000000,0.00000000,0.00000000,0.89621587,0.00000000,1800.00073242
1692117188.22380686,173.57442822,-130.90053081,0.00082522,0.00818556,-1.45382403,0.00058119,0.00040195,0.00000826,-0.01062679,0.00000000,0.00000000,0.00000000,0.00000000,0.89631345,0.00000000,1800.00073242
1692117188.26380682,173.57480634,-130.90092732,0.00084291,0.00939957,-1.45380774,0.00015612,0.00040433,0.00001277,0.01062679,0.00000000,0.00000000,0.00000000,0.00000000,0.89640415,0.00000000,1800.00073242
1692117188.30380678,173.57488446,-130.90094885,0.00254305,0.00773606,-1.45379031,0.00058119,0.00040650,0.00000969,-0.00319461,0.00000000,0.00000000,0.00000000,0.00000000,0.89720508,0.00000000,1800.00073242
1692117188.34380674,173.57536135,-130.90111756,-0.00046355,0.00758943,-1.45377183,0.00045341,0.00041135,0.00000971,0.00319461,0.00000000,0.00000000,0.00000000,0.00000000,0.89718702,0.00000000,1800.00073242
1692117188.38380671,173.57619912,-130.90050380,0.00236138,0.00827019,-1.45374924,0.00058119,0.00041656,0.00000020,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89629678,0.00000000,1800.00073242
1692117188.42380667,173.57653647,-130.90037296,0.00080375,0.00880867,-1.45372780,0.00058119,0.00042291,-0.00000143,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89721385,0.00000000,1800.00073242
1692117188.46380663,173.57651194,-130.90040886,0.00163940,0.00813387,-1.45370675,0.00058119,0.00043004,-0.00000082,-0.00351276,0.00000000,0.00000000,0.00000000,0.00000000,0.89673783,0.00000000,1800.00073242
1692117188.50380659,173.57656327,-130.90035462,0.00013649,0.00806955,-1.45368476,0.00044068,0.00043663,-0.00000171,0.00351276,0.00000000,0.00000000,0.00000000,0.00000000,0.89550992,0.00000000,1800.00073242
1692117188.54380655,173.57640834,-130.89997651,0.00086860,0.00883715,-1.45365753,0.00058119,0.00044398,-0.00000672,-0.01452987,0.00000000,0.00000000,0.00000000,0.00000000,0.89718643,0.00000000,1800.00073242
1692117188.58380651,173.57664155,-130.90006605,0.00246592,0.00795303,-1.45363802,0.00000000,0.00044923,-0.00000374,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89622058,0.00000000,1800.00073242
1692117188.62380648,173.57666426,-130.90023588,-0.00035132,0.00761446,-1.45362045,0.00000000,0.00045246,-0.00000060,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89633800,0.00000000,1800.00073242
1692117188.66380644,173.57681658,-130.90063795,0.00112927,0.00856413,-1.45360762,0.00000000,0.00045379,0.00000576,0.00324484,0.00000000,0.00000000,0.00000000,0.00000000,0.89643244,0.00000000,1800.00073242
1692117188.70380640,173.57682703,-130.90063628,0.00037163,0.00910328,-1.45358933,0.00012979,0.00045399,0.00000401,0.01128503,0.00000000,0.00000000,0.00000000,0.00000000,0.89796062,0.00000000,1800.00073242
1692117188.74380636,173.57631044,-130.90068758,0.00233888,0.00790783,-1.45357185,0.00058119,0.00045266,0.00000256,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89719116,0.00000000,1800.00073242
1692117188.78380632,173.57606553,-130.90115266,-0.00139505,0.00768297,-1.45356058,0.00058119,0.00045141,0.00000730,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89688324,0.00000000,1800.00073242
1692117188.82380629,173.57658937,-130.90094168,0.00138959,0.00891319,-1.45354129,0.00058119,0.00045038,0.00000299,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89681124,0.00000000,1800.00073242
1692117188.86380625,173.57668828,-130.90112281,0.00063365,0.00896583,-1.45352619,0.00058119,0.00044957,0.00000487,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89669281,0.00000000,1800.00073242
1692117188.90380621,173.57673915,-130.90108198,0.00045453,0.00795453,-1.45350825,0.00058119,0.00044878,0.00000269,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89712082,0.00000000,1800.00073242
1692117188.94380617,173.57667150,-130.90080034,0.00000039,0.00811750,-1.45348733,0.00058119,0.00044763,-0.00000204,-0.00590251,0.00000000,0.00000000,0.00000000,0.00000000,0.89519184,0.00000000,1800.00073242
1692117188.98380613,173.57691982,-130.90076717,0.00006314,0.00916086,-1.45347057,0.00034509,0.00044574,-0.00000195,0.00269359,0.00000000,0.00000000,0.00000000,0.00000000,0.89711425,0.00000000,1800.00073242
1692117189.02380610,173.57697063,-130.90072567,0.00174400,0.00856835,-1.45345294,0.00045284,0.00044467,-0.00000236,0.00320892,0.00000000,0.00000000,0.00000000,0.00000000,0.89624922,0.00000000,1800.00073242
1692117189.06380606,173.57678760,-130.90045240,-0.00131457,0.00766938,-1.45343417,0.00058119,0.00044008,-0.00000577,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89529291,0.00000000,1800.00073242
1692117189.10380602,173.57686628,-130.90043390,0.00138889,0.00903656,-1.45341889,0.00058119,0.00043619,-0.00000475,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89640862,0.00000000,1800.00073242
1692117189.14380598,173.57703128,-130.90034048,0.00003264,0.00932704,-1.45340276,0.00058119,0.00043257,-0.00000472,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89582222,0.00000000,1800.00073242
1692117189.18380594,173.57675194,-130.90018409,0.00054476,0.00809427,-1.45338558,0.00058119,0.00042838,-0.00000624,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89758012,0.00000000,1800.00073242
1692117189.22380590,173.57635777,-130.90036233,-0.00059240,0.00844469,-1.45337279,0.00058119,0.00042409,-0.00000299,-0.00842415,0.00000000,0.00000000,0.00000000,0.00000000,0.89510849,0.00000000,1800.00073242
1692117189.26380587,173.57620259,-130.90073825,0.00021643,0.00933359,-1.45336245,0.00024423,0.00042002,0.00000308,-0.00270452,0.00000000,0.00000000,0.00000000,0.00000000,0.89632920,0.00000000,1800.00073242
1692117189.30380583,173.57619886,-130.90077913,0.00111339,0.00840206,-1.45334850,0.00013605,0.00041614,0.00000269,0.01791509,0.00000000,0.00000000,0.00000000,0.00000000,0.89632007,0.00000000,1800.00073242
1692117189.34380579,173.57591717,-130.90113400,-0.00108348,0.00776884,-1.45333651,0.00085265,0.00041385,0.00000573,-0.00678643,0.00000000,0.00000000,0.00000000,0.00000000,0.89576727,0.00000000,1800.00073242
1692117189.38380575,173.57579662,-130.90078329,0.00055429,0.00902354,-1.45331790,0.00058119,0.00041235,-0.00000075,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89623235,0.00000000,1800.00073242
1692117189.42380571,173.57533032,-130.90035053,0.00007001,0.00976016,-1.45329814,0.00058119,0.00041224,-0.00000781,-0.01077198,0.00000000,0.00000000,0.00000000,0.00000000,0.89724386,0.00000000,1800.00073242
1692117189.46380568,173.57493842,-130.90040710,0.00139117,0.00811554,-1.45328078,0.00015032,0.00041374,-0.00000581,-0.00375789,0.00000000,0.00000000,0.00000000,0.00000000,0.89728593,0.00000000,1800.00073242
1692117189.50380564,173.57488279,-130.90036718,-0.00185116,0.00784438,-1.45326272,0.00000000,0.00041592,-0.00000519,0.00364188,0.00000000,0.00000000,0.00000000,0.00000000,0.89677851,0.00000000,1800.00073242
1692117189.54380560,173.57456829,-130.90002866,0.00129429,0.00882099,-1.45324155,0.00014568,0.00042138,-0.00000883,-0.00364188,0.00000000,0.00000000,0.00000000,0.00000000,0.89668994,0.00000000,1800.00073242
1692117189.58380556,173.57436190,-130.89981013,0.00008554,0.00914148,-1.45322104,0.00000000,0.00042671,-0.00000983,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89727618,0.00000000,1800.00073242
1692117189.62380552,173.57474212,-130.89957871,0.00034450,0.00807080,-1.45320061,0.00000000,0.00043224,-0.00001000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89743702,0.00000000,1800.00073242
1692117189.66380548,173.57454454,-130.89966857,-0.00128757,0.00842233,-1.45318010,0.00000000,0.00043729,-0.00000638,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89735580,0.00000000,1800.00073242
1692117189.70380545,173.57447225,-130.89965849,0.00004666,0.00890157,-1.45316057,0.00000000,0.00044055,-0.00000492,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89730117,0.00000000,1800.00073242
1692117189.74380541,173.57408745,-130.89955162,0.00096030,0.00860418,-1.45314075,0.00000000,0.00044424,-0.00000541,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89810129,0.00000000,1800.00073242
1692117189.78380537,173.57418494,-130.89934313,-0.00116115,0.00780471,-1.45312244,0.00000000,0.00044581,-0.00000635,0.00401649,0.00000000,0.00000000,0.00000000,0.00000000,0.89809044,0.00000000,1800.00073242
1692117189.82380533,173.57374398,-130.89980932,-0.00061983,0.00845898,-1.45310323,0.00016066,0.00044622,0.00000142,0.00680202,0.00000000,0.00000000,0.00000000,0.00000000,0.89619278,0.00000000,1800.00073242
1692117189.86380529,173.57360857,-130.89974956,-0.00077720,0.00978248,-1.45308602,0.00043274,0.00044569,0.00000011,-0.01081851,0.00000000,0.00000000,0.00000000,0.00000000,0.89820496,0.00000000,1800.00073242
1692117189.90380526,173.57353991,-130.89974056,0.00059793,0.00883778,-1.45306899,0.00000000,0.00044457,0.00000003,0.01452987,0.00000000,0.00000000,0.00000000,0.00000000,0.89794465,0.00000000,1800.00073242
1692117189.94380522,173.57339922,-130.89961540,-0.00184062,0.00772176,-1.45305269,0.00058119,0.00044334,-0.00000153,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89722890,0.00000000,1800.00073242
1692117189.98380518,173.57371864,-130.90016046,0.00052446,0.00881482,-1.45303243,0.00058119,0.00044196,0.00000670,-0.01085145,0.00000000,0.00000000,0.00000000,0.00000000,0.89740238,0.00000000,1800.00073242
1692117190.02380514,173.57362481,-130.90018249,-0.00084692,0.00946979,-1.45301506,0.00014714,0.00044139,0.00000526,-0.00367842,0.00000000,0.00000000,0.00000000,0.00000000,0.89661972,0.00000000,1800.00073242
1692117190.06380510,173.57304556,-130.89996472,-0.00054283,0.00812947,-1.45300033,0.00000000,0.00043972,-0.00000053,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89706371,0.00000000,1800.00073242
1692117190.10380507,173.57297498,-130.89998859,-0.00238425,0.00868621,-1.45298317,0.00000000,0.00043887,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89686980,0.00000000,1800.00073242
1692117190.14380503,173.57292414,-130.90011608,-0.00053923,0.00972122,-1.45296462,0.00000000,0.00043904,0.00000164,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89721931,0.00000000,1800.00073242
1692117190.18380499,173.57296780,-130.89977575,-0.00008071,0.00873597,-1.45294935,0.00000000,0.00043968,-0.00000311,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89750412,0.00000000,1800.00073242
1692117190.22380495,173.57287691,-130.89960072,-0.00261816,0.00897431,-1.45293232,0.00000000,0.00044124,-0.00000482,0.01036464,0.00000000,0.00000000,0.00000000,0.00000000,0.89611235,0.00000000,1800.00073242
1692117190.26380491,173.57336810,-130.89930872,-0.00019666,0.00945645,-1.45291549,0.00041459,0.00044308,-0.00000704,-0.00643389,0.00000000,0.00000000,0.00000000,0.00000000,0.89640799,0.00000000,1800.00073242
1692117190.30380487,173.57326154,-130.89931504,-0.00166647,0.00990595,-1.45289575,0.00015723,0.00044632,-0.00000517,-0.00009461,0.00000000,0.00000000,0.00000000,0.00000000,0.89700570,0.00000000,1800.00073242
1692117190.34380484,173.57267374,-130.89932538,-0.00073849,0.00874910,-1.45287574,0.00015345,0.00045040,-0.00000441,0.01069373,0.00000000,0.00000000,0.00000000,0.00000000,0.89677825,0.00000000,1800.00073242
1692117190.38380480,173.57238537,-130.89917121,-0.00287102,0.00860332,-1.45285744,0.00058119,0.00045319,-0.00000550,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89673926,0.00000000,1800.00073242
1692117190.42380476,173.57275196,-130.89854752,-0.00056107,0.00979242,-1.45284338,0.00058119,0.00045473,-0.00001204,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89736572,0.00000000,1800.00073242
1692117190.46380472,173.57292441,-130.89809573,-0.00139429,0.01017052,-1.45282891,0.00058119,0.00045442,-0.00001509,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89692583,0.00000000,1800.00073242
1692117190.50380468,173.57288376,-130.89803503,-0.00059709,0.00845244,-1.45281284,0.00058119,0.00045181,-0.00001173,-0.00382045,0.00000000,0.00000000,0.00000000,0.00000000,0.89795170,0.00000000,1800.00073242
1692117190.54380465,173.57290350,-130.89750984,-0.00314566,0.00842975,-1.45280097,0.00042838,0.00044784,-0.00001486,-0.01070942,0.00000000,0.00000000,0.00000000,0.00000000,0.89653528,0.00000000,1800.00073242
1692117190.58380461,173.57296645,-130.89772843,-0.00049194,0.00954646,-1.45278557,0.00000000,0.00044163,-0.00000740,0.01996357,0.00000000,0.00000000,0.00000000,0.00000000,0.89782054,0.00000000,1800.00073242
1692117190.62380457,173.57339155,-130.89746116,-0.00179454,0.01046844,-1.45277386,0.00079854,0.00043419,-0.00000795,-0.00162587,0.00000000,0.00000000,0.00000000,0.00000000,0.89846761,0.00000000,1800.00073242
1692117190.66380453,173.57329117,-130.89675522,-0.00106785,0.00904636,-1.45276432,0.00073351,0.00042636,-0.00001620,-0.00380783,0.00000000,0.00000000,0.00000000,0.00000000,0.89849037,0.00000000,1800.00073242
1692117190.70380449,173.57324566,-130.89674885,-0.00293231,0.00851386,-1.45275121,0.00058119,0.00042022,-0.00001234,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89809447,0.00000000,1800.00073242
1692117190.74380445,173.57300163,-130.89668486,-0.00078541,0.00974388,-1.45273953,0.00058119,0.00041256,-0.00000862,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89810937,0.00000000,1800.00073242
1692117190.78380442,173.57288462,-130.89585489,-0.00158024,0.01076433,-1.45272864,0.00058119,0.00040754,-0.00001638,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89835836,0.00000000,1800.00073242
1692117190.82380438,173.57302489,-130.89527509,-0.00151089,0.00873957,-1.45271626,0.00058119,0.00040393,-0.00001908,-0.01072862,0.00000000,0.00000000,0.00000000,0.00000000,0.89855631,0.00000000,1800.00073242
1692117190.86380434,173.57268081,-130.89506717,-0.00257294,0.00901847,-1.45270216,0.00015205,0.00040152,-0.00001674,0.01072862,0.00000000,0.00000000,0.00000000,0.00000000,0.89832838,0.00000000,1800.00073242
1692117190.90380430,173.57266297,-130.89511117,-0.00097913,0.00966108,-1.45268808,0.00058119,0.00039822,-0.00001051,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89863471,0.00000000,1800.00073242
1692117190.94380426,173.57274653,-130.89543835,-0.00112335,0.01019136,-1.45267094,0.00058119,0.00039880,-0.00000231,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89841643,0.00000000,1800.00073242
1692117190.98380423,173.57281212,-130.89486431,-0.00127831,0.00844182,-1.45265717,0.00058119,0.00039773,-0.00000767,-0.00392202,0.00000000,0.00000000,0.00000000,0.00000000,0.89880493,0.00000000,1800.00073242
1692117191.02380419,173.57280516,-130.89486782,-0.00262057,0.00870243,-1.45264174,0.00042431,0.00039699,-0.00000430,-0.01060784,0.00000000,0.00000000,0.00000000,0.00000000,0.89746253,0.00000000,1800.00073242
1692117191.06380415,173.57292688,-130.89486946,-0.00120588,0.00940356,-1.45262698,0.00000000,0.00039527,-0.00000155,0.00984144,0.00000000,0.00000000,0.00000000,0.00000000,0.89849275,0.00000000,1800.00073242
1692117191.10380411,173.57291746,-130.89489332,-0.00127145,0.01057161,-1.45261202,0.00039366,0.00039390,0.00000072,0.00468843,0.00000000,0.00000000,0.00000000,0.00000000,0.89764417,0.00000000,1800.00073242
1692117191.14380407,173.57296979,-130.89507047,-0.00055070,0.00807500,-1.45259704,0.00058119,0.00039232,0.00000432,-0.00405695,0.00000000,0.00000000,0.00000000,0.00000000,0.89763329,0.00000000,1800.00073242
1692117191.18380404,173.57271007,-130.89519983,-0.00339591,0.00808211,-1.45258225,0.00041892,0.00039076,0.00000591,-0.00664588,0.00000000,0.00000000,0.00000000,0.00000000,0.89777033,0.00000000,1800.00073242
1692117191.22380400,173.57264590,-130.89550256,-0.00158622,0.00910287,-1.45256705,0.00015308,0.00038945,0.00001000,-0.00382703,0.00000000,0.00000000,0.00000000,0.00000000,0.89665305,0.00000000,1800.00073242
1692117191.26380396,173.57196402,-130.89501926,-0.00211405,0.01025868,-1.45255302,0.00000000,0.00038877,-0.00000028,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89801209,0.00000000,1800.00073242
1692117191.30380392,173.57198302,-130.89497914,-0.00022036,0.00938523,-1.45253801,0.00000000,0.00038810,0.00000058,0.01452987,0.00000000,0.00000000,0.00000000,0.00000000,0.89783591,0.00000000,1800.00073242
1692117191.34380388,173.57252874,-130.89460826,-0.00345407,0.00724940,-1.45252192,0.00058119,0.00039054,-0.00000198,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89642069,0.00000000,1800.00073242
1692117191.38380384,173.57270550,-130.89589810,-0.00172891,0.00879138,-1.45250074,0.00058119,0.00039338,0.00001692,-0.01452987,0.00000000,0.00000000,0.00000000,0.00000000,0.89674681,0.00000000,1800.00073242
1692117191.42380381,173.57315429,-130.89647963,-0.00219783,0.01026184,-1.45248083,0.00000000,0.00039751,0.00002287,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89654477,0.00000000,1800.00073242
1692117191.46380377,173.57347065,-130.89707871,-0.00066187,0.00899778,-1.45246083,0.00000000,0.00040266,0.00002772,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89714791,0.00000000,1800.00073242
1692117191.50380373,173.57338045,-130.89708570,-0.00371040,0.00827235,-1.45244160,0.00000000,0.00040764,0.00002130,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89605442,0.00000000,1800.00073242
1692117191.54380369,173.57264765,-130.89713198,-0.00192656,0.00895121,-1.45242126,0.00000000,0.00041430,0.00001601,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89589465,0.00000000,1800.00073242
1692117191.58380365,173.57269456,-130.89714732,-0.00245612,0.01045195,-1.45240167,0.00000000,0.00041902,0.00001292,0.00399235,0.00000000,0.00000000,0.00000000,0.00000000,0.89735327,0.00000000,1800.00073242
1692117191.62380362,173.57280250,-130.89707994,-0.00049847,0.00868506,-1.45238172,0.00015969,0.00042411,0.00000957,0.00669849,0.00000000,0.00000000,0.00000000,0.00000000,0.89702786,0.00000000,1800.00073242
1692117191.66380358,173.57268078,-130.89739960,-0.00414158,0.00846469,-1.45236245,0.00042763,0.00042727,0.00001242,-0.00033728,0.00000000,0.00000000,0.00000000,0.00000000,0.89707042,0.00000000,1800.00073242
1692117191.70380354,173.57265791,-130.89742146,-0.00179270,0.00939250,-1.45234470,0.00041414,0.00042825,0.00000991,0.00033597,0.00000000,0.00000000,0.00000000,0.00000000,0.89720361,0.00000000,1800.00073242
1692117191.74380350,173.57267421,-130.89756581,-0.00231979,0.01013104,-1.45232654,0.00042758,0.00042954,0.00000953,0.00384034,0.00000000,0.00000000,0.00000000,0.00000000,0.89726585,0.00000000,1800.00073242
1692117191.78380346,173.57285119,-130.89777463,-0.00097424,0.00833771,-1.45230916,0.00058119,0.00042926,0.00001041,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89662747,0.00000000,1800.00073242
1692117191.82380342,173.57260905,-130.89786482,-0.00424246,0.00861990,-1.45229230,0.00058119,0.00042871,0.00000888,-0.00945553,0.00000000,0.00000000,0.00000000,0.00000000,0.89663477,0.00000000,1800.00073242
1692117191.86380339,173.57262577,-130.89819926,-0.00196651,0.00976433,-1.45227479,0.00020297,0.00042845,0.00001208,0.01329867,0.00000000,0.00000000,0.00000000,0.00000000,0.89637183,0.00000000,1800.00073242
1692117191.90380335,173.57254566,-130.89822232,-0.00229657,0.00973547,-1.45225808,0.00073492,0.00042776,0.00000943,-0.01142991,0.00000000,0.00000000,0.00000000,0.00000000,0.89779437,0.00000000,1800.00073242
1692117191.94380331,173.57208262,-130.89838032,-0.00210155,0.00809027,-1.45223916,0.00027772,0.00043042,0.00000847,-0.00694310,0.00000000,0.00000000,0.00000000,0.00000000,0.89833444,0.00000000,1800.00073242
1692117191.98380327,173.57209612,-130.89795935,-0.00427451,0.00832149,-1.45222153,0.00000000,0.00043312,0.00000096,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89695079,0.00000000,1800.00073242
1692117192.02380323,173.57205038,-130.89796534,-0.00210973,0.00991798,-1.45220348,0.00000000,0.00043425,0.00000095,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89863154,0.00000000,1800.00073242
1692117192.06380320,173.57216732,-130.89832734,-0.00234627,0.01032460,-1.45217984,0.00000000,0.00044189,0.00000651,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89798968,0.00000000,1800.00073242
1692117192.10380316,173.57217563,-130.89826448,-0.00282928,0.00800998,-1.45216033,0.00000000,0.00044516,0.00000397,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89815935,0.00000000,1800.00073242
1692117192.14380312,173.57257393,-130.89769528,-0.00348554,0.00873189,-1.45214031,0.00000000,0.00045191,-0.00000346,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89697606,0.00000000,1800.00073242
1692117192.18380308,173.57234818,-130.89694704,-0.00247162,0.01025567,-1.45212185,0.00000000,0.00045603,-0.00001261,0.00382405,0.00000000,0.00000000,0.00000000,0.00000000,0.89748127,0.00000000,1800.00073242
1692117192.22380304,173.57251063,-130.89681858,-0.00175723,0.00954547,-1.45210223,0.00015296,0.00045869,-0.00001061,-0.00382405,0.00000000,0.00000000,0.00000000,0.00000000,0.89785874,0.00000000,1800.00073242
1692117192.26380301,173.57205199,-130.89722904,-0.00431417,0.00845236,-1.45208232,0.00000000,0.00046030,-0.00000203,0.01452987,0.00000000,0.00000000,0.00000000,0.00000000,0.89790231,0.00000000,1800.00073242
1692117192.30380297,173.57201623,-130.89727105,-0.00340818,0.00924946,-1.45206528,0.00058119,0.00045800,-0.00000051,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89672620,0.00000000,1800.00073242
1692117192.34380293,173.57197095,-130.89757994,-0.00301275,0.01034056,-1.45204598,0.00058119,0.00045856,0.00000389,-0.00426789,0.00000000,0.00000000,0.00000000,0.00000000,0.89802627,0.00000000,1800.00073242
1692117192.38380289,173.57208391,-130.89779614,-0.00144663,0.00932596,-1.45202878,0.00041048,0.00045588,0.00000622,0.00426789,0.00000000,0.00000000,0.00000000,0.00000000,0.89841982,0.00000000,1800.00073242
1692117192.42380285,173.57217954,-130.89761576,-0.00514903,0.00853844,-1.45201307,0.00058119,0.00045263,0.00000248,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89742346,0.00000000,1800.00073242
